Любомир;М
Лютомир;М
Любомира;Ж
Любомысл;М
Любослав;М
Людмил;М
Людмила;Ж
Людевит;М
Лютовлад;М
Лютогост;М
Лютой;М
Мал;М
Малой;М
Младен;М
Малобуд;М
Малоед;М
Маломир;М
Маломоживый;М
Малуша;Ж
Мезамир;М
Местятка;Ж
Мечислав;М
Милан;М
Милана;Ж
Милава;Ж
Милада;Ж
Милена;Ж
Милица;Ж
Умила;Ж
Милобуд;М
Миловид;М
Милован;М
Милодух;М
Милодана;Ж
Миломир;М
Миломира;Ж
Милорад;М
Милослав;М
Милослава;Ж
Миодраг;М
Мирина;Ж
Миробуд;М
Мировид;М
Мировей;М
Миродар;М
Миролюб;М
Миромир;М
Миронега;Ж
Мирослав ;М
Мирослава;Ж
Михалап;М
Младан;М
Молчан;М
Мрак;М
Мстислав;М
Мстислава;Ж
Мстивой;М
Моесил;М
Моимил;М
Мокроус;М
Мокша;М
Молокоед;М
Монислав;М
Мормагон;М
Мороз;М
Мох;М
Моймир;М
Мужедраг;М
Муковоз;М
Мутимир;М
Мухомор;М
Мыслимир;М
Мямля;М
Мяун;М
Надежда;Ж
Нажир;М
Невзор;М
Нежана;Ж
Неженец;М
Некрас;М
Некраса;Ж
Новик;М
Новак;М
Новица;Ж
Неждана;Ж
Онагост;М
Орёл;М
Орлик;М
Осьмой;М
Осьмуша;Ж
Осмомысл;М
Остромир;М
Передслава;Ж
Пересвет;М
Пламена;Ж
Позвизд;М
Предраг;М
Премысл;М
Преслава;Ж
Прибыслав;М
Прибыслава;Ж
Путимир;М
Путислав;М
Радигост;М
Радогаст;М
Радогост;М
Радегаст;М
Ридегост;М
Радогощ;М
Радиград;М
Радимир;М
Радимира;Ж
Радомира;Ж
Радислав;М
Радислава;Ж
Радмила;Ж
Радовлад;М
Радогор;М
Радосвета;Ж
Радость;Ж
Рада;Ж
Радомысл;М
Разумник;М
Ратибор;М
Ратко;М
Ратмир;М
Роговлад;М
Рогволод;М
Рогнеда;Ж
Родовлад;М
Родислав;М
Рознег;М
Росслав;М
Ростислав;М
Ростислава;Ж
Ростих;М
Ружана;Ж
Ружица;Ж
Румяна;Ж
Самовлад;М
Сбыслава;Ж
Сбыня;М
Светислав;М
Светислава;Ж
Световид;М
Световлад;М
Светозар;М
Светозара;Ж
Святополк;М
Святослав;М
Святослава;Ж
Сияна;Ж
Славомир;М
Славомыс;М
Слободан;М
Скалогром;М
Смиляна;Ж
Сновид;М
Собеслав;М
Соловей;М
Сом;М
Снежана;Ж
Станимир;М
Станимира;Ж
Станислав;М
Станислава;Ж
Стоян;М
Стоум;М
Строимир;М
Судимир;М
Судислав;М
Судиша;М
Сулислав;М
Табемысл;М
Татимир;М
Твердимир;М
Твердислав;М
Твердята;М
Творимир;М
Тихомир;М
Тихомира;Ж
Томила;Ж
Томислав;М
Томица;Ж
Торчин;М
Третьяк;М
Уйка;Ж
Улада;Ж
Умила;Ж
Унислав;М
Хотебуд;М
Хотен;М
Хотимир;М
Хотеслав;М
Храбр;М
Цветава;Ж
Цветана;Ж
Целыгост;М
Цзимислав;М
Часлав;М
Часлава;Ж
Чернава;Ж
Чернек;М
Чеслав;М
Честимир;М
Четвертак;М
Щука;Ж
Яробуд;М
Яровид;М
Яромир;М
Ярополк;М
Ярослав;М
Ярослава;Ж
Ясна;Ж
Ясномысл;М
